epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,399.038,1.62884,2.82179,1.52277,0.44437,0.41533,0.37421,0.16252,1.52022,12.5975,1.35304,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,727.262,1.68488,2.12252,1.53961,0.47444,0.40149,0.39181,0.17376,1.57224,3.72786,1.38447,0.0197908,0.00659693,0.0197908,0.00659693,0.0197908,0.00659693,0.0197908,0.00659693
3,1061.07,1.78928,2.04627,1.61948,0.40272,0.36303,0.31592,0.13176,1.7086,8.37695,1.49382,0.0293949,0.0097983,0.0293949,0.0097983,0.0293949,0.0097983,0.0293949,0.0097983
4,1360.72,1.81326,1.99552,1.63977,0.47667,0.40009,0.40096,0.18203,1.57713,6.43001,1.41962,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1660.92,1.73982,1.83433,1.58897,0.5496,0.4702,0.48948,0.23764,1.48285,3.82913,1.3547,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1960.78,1.69405,1.77214,1.55899,0.56028,0.50913,0.52011,0.24512,1.45912,3.8479,1.28863,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2263.04,1.65271,1.69218,1.52481,0.60215,0.53424,0.56579,0.28975,1.38424,3.58585,1.25691,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2561.72,1.62518,1.62681,1.50366,0.62293,0.53035,0.57791,0.2926,1.3958,4.74088,1.25494,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2861.98,1.61161,1.59824,1.49991,0.61875,0.56077,0.59607,0.311,1.36822,3.27629,1.24688,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3160.9,1.58691,1.5414,1.47903,0.63937,0.5386,0.59664,0.31269,1.37122,2.38672,1.23615,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3460.72,1.57424,1.50066,1.4613,0.64299,0.56712,0.62404,0.32719,1.3556,2.45744,1.22108,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3759.19,1.56044,1.49291,1.45459,0.66331,0.58585,0.63456,0.33461,1.35226,2.11858,1.21632,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
